,timestamp,active_interval,non_active_interval,subject_id,mood,activity
74,2017-06-07 19:41:00,13.0,0.0,C,Contempt/Relaxed,STILL
75,2017-06-07 19:42:00,13.0,0.0,C,Contempt/Relaxed,STILL
76,2017-06-07 19:43:00,13.0,0.0,C,Contempt/Relaxed,IN_VEHICLE
77,2017-06-07 19:44:00,13.0,0.0,C,Contempt/Relaxed,IN_VEHICLE
78,2017-06-07 19:45:00,8.0,5.0,C,Contempt/Relaxed,TILTING
79,2017-06-07 19:46:00,0.0,13.0,C,Contempt/Relaxed,TILTING
80,2017-06-07 19:47:00,0.0,13.0,C,Contempt/Relaxed,ON_FOOT
81,2017-06-07 19:48:00,0.0,13.0,C,Contempt/Relaxed,STILL
82,2017-06-07 19:49:00,0.0,12.0,C,Contempt/Relaxed,STILL
83,2017-06-07 19:50:00,10.0,5.0,C,Contempt/Relaxed,IN_VEHICLE
84,2017-06-07 19:51:00,13.0,0.0,C,Contempt/Relaxed,IN_VEHICLE
85,2017-06-07 19:52:00,13.0,0.0,C,Contempt/Relaxed,IN_VEHICLE
86,2017-06-07 19:53:00,13.0,0.0,C,Contempt/Relaxed,STILL
87,2017-06-07 19:54:00,13.0,0.0,C,Contempt/Relaxed,IN_VEHICLE
88,2017-06-07 19:55:00,13.0,0.0,C,Contempt/Relaxed,ON_FOOT
89,2017-06-07 19:56:00,13.0,0.0,C,Contempt/Relaxed,ON_FOOT
90,2017-06-07 19:57:00,13.0,0.0,C,Contempt/Relaxed,ON_FOOT
91,2017-06-07 19:58:00,13.0,0.0,C,Contempt/Relaxed,ON_FOOT
92,2017-06-07 19:59:00,13.0,0.0,C,Contempt/Relaxed,ON_FOOT
93,2017-06-07 20:00:00,13.0,0.0,C,Contempt/Relaxed,ON_FOOT
94,2017-06-07 20:01:00,13.0,0.0,C,Contempt/Relaxed,ON_FOOT
95,2017-06-07 20:02:00,13.0,0.0,C,Contempt/Relaxed,ON_FOOT
96,2017-06-07 20:03:00,13.0,0.0,C,Contempt/Relaxed,ON_FOOT
97,2017-06-07 20:04:00,13.0,0.0,C,Contempt/Relaxed,ON_FOOT
98,2017-06-07 20:05:00,13.0,0.0,C,Stress/Suffering,ON_FOOT
99,2017-06-07 20:06:00,13.0,0.0,C,Stress/Suffering,ON_FOOT
100,2017-06-07 20:07:00,13.0,0.0,C,Stress/Suffering,STILL
101,2017-06-07 20:08:00,13.0,0.0,C,Stress/Suffering,STILL
102,2017-06-07 20:09:00,13.0,0.0,C,Stress/Suffering,ON_FOOT
103,2017-06-07 20:10:00,13.0,0.0,C,Stress/Suffering,STILL
104,2017-06-07 20:11:00,13.0,0.0,C,Stress/Suffering,ON_FOOT
105,2017-06-07 20:12:00,13.0,0.0,C,Stress/Suffering,ON_FOOT
106,2017-06-07 20:13:00,13.0,0.0,C,Stress/Suffering,ON_FOOT
107,2017-06-07 20:14:00,13.0,0.0,C,Stress/Suffering,ON_FOOT
108,2017-06-07 20:15:00,13.0,0.0,C,Stress/Suffering,ON_FOOT
109,2017-06-07 20:16:00,13.0,0.0,C,Stress/Suffering,ON_FOOT
110,2017-06-07 20:17:00,6.0,7.0,C,Contempt/Relaxed,STILL
111,2017-06-07 20:18:00,9.0,4.0,C,Contempt/Relaxed,STILL
112,2017-06-07 20:19:00,13.0,0.0,C,Contempt/Relaxed,STILL
113,2017-06-07 20:20:00,13.0,0.0,C,Contempt/Relaxed,STILL
114,2017-06-07 20:21:00,13.0,0.0,C,Contempt/Relaxed,TILTING
115,2017-06-07 20:22:00,13.0,0.0,C,Contempt/Relaxed,TILTING
116,2017-06-07 20:23:00,13.0,0.0,C,Contempt/Relaxed,STILL
117,2017-06-07 20:24:00,13.0,0.0,C,Anger/Fear/Disgust,STILL
118,2017-06-07 20:25:00,13.0,0.0,C,Sad/Gloomy/Sorrowful,STILL
119,2017-06-07 20:26:00,13.0,0.0,C,Sad/Gloomy/Sorrowful,STILL
120,2017-06-07 20:27:00,13.0,0.0,C,Contempt/Relaxed,STILL
121,2017-06-07 20:28:00,13.0,0.0,C,Contempt/Relaxed,STILL
122,2017-06-07 20:29:00,13.0,0.0,C,Joy/Happy/Excitement,STILL
123,2017-06-07 20:30:00,13.0,0.0,C,Joy/Happy/Excitement,STILL
124,2017-06-07 20:31:00,13.0,0.0,C,Calm/Peaceful/Serence,STILL
125,2017-06-07 20:32:00,13.0,0.0,C,Calm/Peaceful/Serence,IN_VEHICLE
126,2017-06-07 20:33:00,13.0,0.0,C,Calm/Peaceful/Serence,STILL
127,2017-06-07 20:34:00,13.0,0.0,C,Calm/Peaceful/Serence,STILL
128,2017-06-07 20:35:00,13.0,0.0,C,Calm/Peaceful/Serence,STILL
129,2017-06-07 20:36:00,11.0,2.0,C,Calm/Peaceful/Serence,STILL
130,2017-06-07 20:37:00,0.0,13.0,C,Calm/Peaceful/Serence,STILL
131,2017-06-07 20:38:00,0.0,14.0,C,Calm/Peaceful/Serence,STILL
132,2017-06-07 20:39:00,8.0,6.0,C,Calm/Peaceful/Serence,TILTING
133,2017-06-07 20:40:00,13.0,0.0,C,Calm/Peaceful/Serence,STILL
134,2017-06-07 20:41:00,13.0,0.0,C,Contempt/Relaxed,STILL
135,2017-06-07 20:42:00,13.0,0.0,C,Contempt/Relaxed,STILL
136,2017-06-07 20:43:00,13.0,0.0,C,Contempt/Relaxed,STILL
137,2017-06-07 20:44:00,13.0,0.0,C,Contempt/Relaxed,STILL
138,2017-06-07 20:45:00,13.0,0.0,C,Contempt/Relaxed,STILL
139,2017-06-07 20:46:00,13.0,0.0,C,Contempt/Relaxed,STILL
140,2017-06-07 20:47:00,13.0,0.0,C,Contempt/Relaxed,STILL
141,2017-06-07 20:48:00,13.0,0.0,C,Contempt/Relaxed,STILL
142,2017-06-07 20:49:00,13.0,0.0,C,Contempt/Relaxed,STILL
143,2017-06-07 20:50:00,13.0,0.0,C,Contempt/Relaxed,STILL
144,2017-06-07 20:51:00,13.0,0.0,C,Contempt/Relaxed,STILL
145,2017-06-07 20:52:00,13.0,0.0,C,Contempt/Relaxed,STILL
