,timestamp,active_interval,non_active_interval,subject_id,mood,activity
72,2017-06-07 19:48:00,13.0,0.0,A,Joy/Happy/Excitement,ON_FOOT
73,2017-06-07 19:49:00,13.0,0.0,A,Joy/Happy/Excitement,IN_VEHICLE
74,2017-06-07 19:50:00,13.0,0.0,A,Contempt/Relaxed,IN_VEHICLE
75,2017-06-07 19:51:00,13.0,0.0,A,Contempt/Relaxed,IN_VEHICLE
76,2017-06-07 19:52:00,13.0,0.0,A,Contempt/Relaxed,IN_VEHICLE
77,2017-06-07 19:53:00,13.0,0.0,A,Contempt/Relaxed,IN_VEHICLE
78,2017-06-07 19:54:00,13.0,0.0,A,Contempt/Relaxed,IN_VEHICLE
79,2017-06-07 19:55:00,13.0,0.0,A,Contempt/Relaxed,TILTING
80,2017-06-07 19:56:00,11.0,2.0,A,Contempt/Relaxed,ON_FOOT
81,2017-06-07 19:57:00,0.0,13.0,A,Contempt/Relaxed,ON_FOOT
82,2017-06-07 19:58:00,0.0,13.0,A,Contempt/Relaxed,ON_FOOT
83,2017-06-07 19:59:00,0.0,13.0,A,Contempt/Relaxed,ON_FOOT
84,2017-06-07 20:00:00,0.0,13.0,A,Joy/Happy/Excitement,ON_FOOT
85,2017-06-07 20:01:00,8.0,5.0,A,Joy/Happy/Excitement,STILL
86,2017-06-07 20:02:00,13.0,0.0,A,Joy/Happy/Excitement,ON_FOOT
87,2017-06-07 20:03:00,13.0,0.0,A,Joy/Happy/Excitement,ON_FOOT
88,2017-06-07 20:04:00,13.0,0.0,A,Joy/Happy/Excitement,ON_FOOT
89,2017-06-07 20:05:00,7.0,6.0,A,Joy/Happy/Excitement,ON_FOOT
90,2017-06-07 20:06:00,0.0,13.0,A,Joy/Happy/Excitement,ON_FOOT
91,2017-06-07 20:07:00,1.0,12.0,A,Joy/Happy/Excitement,STILL
92,2017-06-07 20:08:00,13.0,0.0,A,Joy/Happy/Excitement,ON_FOOT
93,2017-06-07 20:09:00,13.0,0.0,A,Joy/Happy/Excitement,STILL
94,2017-06-07 20:10:00,13.0,0.0,A,Joy/Happy/Excitement,STILL
95,2017-06-07 20:11:00,13.0,0.0,A,Joy/Happy/Excitement,STILL
96,2017-06-07 20:12:00,13.0,0.0,A,Joy/Happy/Excitement,ON_FOOT
97,2017-06-07 20:13:00,13.0,0.0,A,Joy/Happy/Excitement,ON_FOOT
98,2017-06-07 20:14:00,13.0,0.0,A,Joy/Happy/Excitement,TILTING
99,2017-06-07 20:15:00,13.0,0.0,A,Joy/Happy/Excitement,ON_FOOT
