B;,2017-06-07 21:24:12.401;[ [type=ON_FOOT, confidence=100],  [type=WALKING, confidence=100]],,,,,,,,,,
B;,2017-06-07 21:24:12.45;[ [type=TILTING, confidence=100]],,,,,,,,,,,,
B;,2017-06-07 21:24:17.65;[ [type=ON_FOOT, confidence=90],  [type=WALKING, confidence=80],  [type=ON_BICYCLE, confidence=10],  [type=RUNNING, confidence=10]],,,,,,
B;,2017-06-07 21:24:17.706;[ [type=TILTING, confidence=100]],,,,,,,,,,,,
B;,2017-06-07 21:24:22.899;[ [type=ON_FOOT, confidence=85],  [type=WALKING, confidence=75],  [type=RUNNING, confidence=10],  [type=IN_VEHICLE, confidence=8],  [type=UNKNOWN, confidence=5],  [type=STILL, confidence=3]],,
B;,2017-06-07 21:24:22.948;[ [type=TILTING, confidence=100]],,,,,,,,,,,,
B;,2017-06-07 21:24:28.165;[ [type=ON_FOOT, confidence=77],  [type=WALKING, confidence=69],  [type=ON_BICYCLE, confidence=18],  [type=RUNNING, confidence=8],  [type=IN_VEHICLE, confidence=5]],,,,
B;,2017-06-07 21:24:33.31;[ [type=ON_FOOT, confidence=38],  [type=WALKING, confidence=38],  [type=IN_VEHICLE, confidence=31],  [type=ON_BICYCLE, confidence=15],  [type=STILL, confidence=8],  [type=UNKNOWN, confidence=8]],,
B;,2017-06-07 21:24:33.368;[ [type=TILTING, confidence=100]],,,,,,,,,,,,
B;,2017-06-07 21:24:38.668;[ [type=ON_FOOT, confidence=90],  [type=WALKING, confidence=84],  [type=IN_VEHICLE, confidence=5],  [type=RUNNING, confidence=5],  [type=STILL, confidence=3],  [type=UNKNOWN, confidence=3]],,
B;,2017-06-07 21:24:38.716;[ [type=TILTING, confidence=100]],,,,,,,,,,,,
B;,2017-06-07 21:24:43.917;[ [type=ON_FOOT, confidence=83],  [type=WALKING, confidence=77],  [type=IN_VEHICLE, confidence=10],  [type=ON_BICYCLE, confidence=6],  [type=RUNNING, confidence=6],  [type=UNKNOWN, confidence=2]],,
B;,2017-06-07 21:24:49.108;[ [type=ON_FOOT, confidence=85],  [type=WALKING, confidence=85],  [type=UNKNOWN, confidence=15]],,,,,,,,
B;,2017-06-07 21:24:49.151;[ [type=TILTING, confidence=100]],,,,,,,,,,,,
B;,2017-06-07 21:24:54.407;[ [type=ON_FOOT, confidence=95],  [type=WALKING, confidence=85],  [type=RUNNING, confidence=10],  [type=ON_BICYCLE, confidence=5]],,,,,,
B;,2017-06-07 21:24:59.613;[ [type=ON_FOOT, confidence=100],  [type=WALKING, confidence=100]],,,,,,,,,,
B;,2017-06-07 21:25:04.207;[ [type=ON_FOOT, confidence=85],  [type=WALKING, confidence=69],  [type=RUNNING, confidence=15],  [type=ON_BICYCLE, confidence=8],  [type=UNKNOWN, confidence=8]],,,,
B;,2017-06-07 21:25:04.263;[ [type=TILTING, confidence=100]],,,,,,,,,,,,
B;,2017-06-07 21:25:21.901;[ [type=ON_FOOT, confidence=92],  [type=WALKING, confidence=85],  [type=RUNNING, confidence=8],  [type=IN_VEHICLE, confidence=3],  [type=ON_BICYCLE, confidence=3],  [type=UNKNOWN, confidence=3]],,
B;,2017-06-07 21:25:21.946;[ [type=TILTING, confidence=100]],,,,,,,,,,,,
B;,2017-06-07 21:25:39.734;[ [type=ON_FOOT, confidence=87],  [type=WALKING, confidence=87],  [type=ON_BICYCLE, confidence=10],  [type=STILL, confidence=3]],,,,,,
B;,2017-06-07 21:25:39.798;[ [type=TILTING, confidence=100]],,,,,,,,,,,,
B;,2017-06-07 21:25:43.603;[ [type=ON_FOOT, confidence=95],  [type=WALKING, confidence=92],  [type=ON_BICYCLE, confidence=5],  [type=RUNNING, confidence=3]],,,,,,
B;,2017-06-07 21:25:49.14;[ [type=ON_FOOT, confidence=92],  [type=WALKING, confidence=85],  [type=ON_BICYCLE, confidence=8],  [type=RUNNING, confidence=8]],,,,,,
B;,2017-06-07 21:25:49.183;[ [type=TILTING, confidence=100]],,,,,,,,,,,,
