,timestamp,active_interval,non_active_interval,subject_id,mood,activity
0,2017-06-07 18:38:00,13.0,0.0,B,Contempt/Relaxed,STILL
1,2017-06-07 18:39:00,13.0,0.0,B,Contempt/Relaxed,STILL
2,2017-06-07 18:40:00,13.0,0.0,B,Contempt/Relaxed,STILL
3,2017-06-07 18:41:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
4,2017-06-07 18:42:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
5,2017-06-07 18:43:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
6,2017-06-07 18:44:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
7,2017-06-07 18:45:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
8,2017-06-07 18:46:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
9,2017-06-07 18:47:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
10,2017-06-07 18:48:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
11,2017-06-07 18:49:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
12,2017-06-07 18:50:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
13,2017-06-07 18:51:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
14,2017-06-07 18:52:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
15,2017-06-07 18:53:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
16,2017-06-07 18:54:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
17,2017-06-07 18:55:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
18,2017-06-07 18:56:00,13.0,0.0,B,Contempt/Relaxed,ON_FOOT
19,2017-06-07 18:57:00,11.0,2.0,B,Contempt/Relaxed,ON_FOOT
20,2017-06-07 18:58:00,0.0,13.0,B,Contempt/Relaxed,ON_FOOT
21,2017-06-07 18:59:00,0.0,13.0,B,Contempt/Relaxed,ON_FOOT
22,2017-06-07 19:00:00,0.0,13.0,B,Calm/Peaceful/Serence,ON_FOOT
23,2017-06-07 19:01:00,0.0,13.0,B,Calm/Peaceful/Serence,STILL
24,2017-06-07 19:02:00,0.0,13.0,B,Calm/Peaceful/Serence,STILL
25,2017-06-07 19:03:00,0.0,13.0,B,Calm/Peaceful/Serence,STILL
26,2017-06-07 19:04:00,0.0,13.0,B,Calm/Peaceful/Serence,STILL
27,2017-06-07 19:05:00,0.0,13.0,B,Calm/Peaceful/Serence,STILL
28,2017-06-07 19:06:00,0.0,13.0,B,Calm/Peaceful/Serence,STILL
29,2017-06-07 19:07:00,0.0,13.0,B,Calm/Peaceful/Serence,STILL
30,2017-06-07 19:08:00,4.0,10.0,B,Calm/Peaceful/Serence,STILL
31,2017-06-07 19:09:00,9.0,4.0,B,Calm/Peaceful/Serence,STILL
32,2017-06-07 19:10:00,0.0,13.0,B,Calm/Peaceful/Serence,STILL
33,2017-06-07 19:11:00,0.0,13.0,B,Calm/Peaceful/Serence,ON_FOOT
34,2017-06-07 19:12:00,0.0,13.0,B,Calm/Peaceful/Serence,ON_FOOT
35,2017-06-07 19:13:00,0.0,13.0,B,Calm/Peaceful/Serence,ON_FOOT
36,2017-06-07 19:14:00,0.0,13.0,B,Joy/Happy/Excitement,ON_FOOT
37,2017-06-07 19:15:00,0.0,13.0,B,Joy/Happy/Excitement,TILTING
